bench,N,model,cfg,GT,naive,onestep,improv_printed,improv_recomputed,self_consistent,binom_se_pp,printed_in_SE,recomputed_in_SE
GPQA,50,Gemini-3-Flash-Preview,1,90.4,92.0,91.2,0.8,0.8,True,3.837,0.209,0.209
GPQA,50,Gemini-3-Flash-Preview,2,90.4,92.0,89.8,0.99,1.0,True,3.837,0.258,0.261
GPQA,50,GPT-5.2,1,86.36,84.0,85.6,1.6,1.6,True,5.185,0.309,0.309
GPQA,50,GPT-5.2,2,86.36,84.0,85.6,1.6,1.6,True,5.185,0.309,0.309
GPQA,50,DeepSeek-V3.2(Thinking),1,84.85,94.0,88.8,5.2,5.2,True,3.359,1.548,1.548
GPQA,50,DeepSeek-V3.2(Thinking),2,84.85,94.0,90.8,3.2,3.2,True,3.359,0.953,0.953
GPQA,50,Grok-4-1-Fast-Reasoning,1,83.33,88.0,85.8,2.2,2.2,True,4.596,0.479,0.479
GPQA,50,Grok-4-1-Fast-Reasoning,2,83.33,88.0,83.6,4.4,4.4,True,4.596,0.957,0.957
GPQA,50,Claude-Sonnet-4.5,1,82.83,78.0,80.6,2.6,2.6,True,5.858,0.444,0.444
GPQA,50,Claude-Sonnet-4.5,2,82.83,78.0,81.4,3.4,3.4,True,5.858,0.58,0.58
GPQA,50,Qwen3-Next-80B-A3B-Instruct,1,76.26,82.0,76.8,5.2,5.2,True,5.433,0.957,0.957
GPQA,50,Qwen3-Next-80B-A3B-Instruct,2,76.26,82.0,78.4,3.6,3.6,True,5.433,0.663,0.663
GPQA,50,DeepSeek-R1-Distill-Llama-70B,1,59.09,60.0,59.0,0.82,0.82,True,6.928,0.118,0.118
GPQA,50,DeepSeek-R1-Distill-Llama-70B,2,59.09,60.0,59.0,0.82,0.82,True,6.928,0.118,0.118
GPQA,50,QwQ-32B-Preview,1,56.06,60.0,55.4,3.28,3.28,True,6.928,0.473,0.473
GPQA,50,QwQ-32B-Preview,2,56.06,60.0,56.0,3.88,3.88,True,6.928,0.56,0.56
GPQA,50,Llama-3.3-70B-Instruct,1,46.97,32.0,37.6,5.6,5.6,True,6.597,0.849,0.849
GPQA,50,Llama-3.3-70B-Instruct,2,46.97,32.0,37.2,5.2,5.2,True,6.597,0.788,0.788
GPQA,50,DeepSeek-R1-Distill-Qwen-32B,1,43.43,40.0,41.4,1.4,1.4,True,6.928,0.202,0.202
GPQA,50,DeepSeek-R1-Distill-Qwen-32B,2,43.43,40.0,43.0,3.0,3.0,True,6.928,0.433,0.433
AIME,15,GPT-5.2,1,96.67,93.33,96.93,3.08,3.08,True,6.442,0.478,0.478
AIME,15,GPT-5.2,2,96.67,93.33,96.43,3.1,3.1,True,6.442,0.481,0.481
AIME,15,Gemini-3-Flash-Preview,1,96.67,93.33,99.93,0.08,0.08,True,6.442,0.012,0.012
AIME,15,Gemini-3-Flash-Preview,2,96.67,93.33,97.77,2.24,2.24,True,6.442,0.348,0.348
AIME,15,DeepSeek-V3.2(Thinking),1,90.0,86.67,91.0,2.33,2.33,True,8.776,0.265,0.265
AIME,15,DeepSeek-V3.2(Thinking),2,90.0,86.67,90.1,3.23,3.23,True,8.776,0.368,0.368
AIME,15,Grok-4-1-Fast-Reasoning,1,86.67,80.0,87.33,6.01,6.01,True,10.328,0.582,0.582
AIME,15,Grok-4-1-Fast-Reasoning,2,86.67,80.0,89.01,4.33,4.33,True,10.328,0.419,0.419
AIME,15,Claude-Sonnet-4.5,1,83.33,66.67,70.67,4.0,4.0,True,12.171,0.329,0.329
AIME,15,Claude-Sonnet-4.5,2,83.33,66.67,78.67,12.0,12.0,True,12.171,0.986,0.986
AIME,15,Qwen3-Next-80B-A3B-Instruct,1,73.33,73.33,72.27,-1.06,-1.06,True,11.418,-0.093,-0.093
AIME,15,Qwen3-Next-80B-A3B-Instruct,2,73.33,73.33,78.66,-5.33,-5.33,True,11.418,-0.467,-0.467
AIME,15,DeepSeek-R1-Distill-Llama-70B,1,53.33,46.67,50.6,3.93,3.93,True,12.881,0.305,0.305
AIME,15,DeepSeek-R1-Distill-Llama-70B,2,53.33,46.67,54.1,5.89,5.89,True,12.881,0.457,0.457
AIME,15,DeepSeek-R1-Distill-Qwen-32B,1,53.33,46.67,50.27,3.6,3.6,True,12.881,0.279,0.279
AIME,15,DeepSeek-R1-Distill-Qwen-32B,2,53.33,46.67,54.86,5.13,5.13,True,12.881,0.398,0.398
AIME,15,QwQ-32B-Preview,1,30.0,33.33,29.67,3.0,3.0,True,12.171,0.246,0.246
AIME,15,QwQ-32B-Preview,2,30.0,33.33,29.37,2.7,2.7,True,12.171,0.222,0.222
AIME,15,Llama-3.3-70B-Instruct,1,6.67,6.67,8.33,-1.66,-1.66,True,6.442,-0.258,-0.258
AIME,15,Llama-3.3-70B-Instruct,2,6.67,6.67,6.24,-0.43,-0.43,True,6.442,-0.067,-0.067
GSM8K,100,Gemini-3-Flash-Preview,1,97.88,98.0,97.9,0.1,0.1,True,1.4,0.071,0.071
GSM8K,100,Gemini-3-Flash-Preview,2,97.88,98.0,98.3,-0.3,-0.3,True,1.4,-0.214,-0.214
GSM8K,100,GPT-5.2,1,97.5,97.0,97.65,0.35,0.35,True,1.706,0.205,0.205
GSM8K,100,GPT-5.2,2,97.5,97.0,97.0,0.5,0.0,False,1.706,0.293,0.0
GSM8K,100,Claude-Sonnet-4.5,1,97.5,95.0,96.7,1.7,1.7,True,2.179,0.78,0.78
GSM8K,100,Claude-Sonnet-4.5,2,97.5,95.0,98.15,1.85,1.85,True,2.179,0.849,0.849
GSM8K,100,Llama-3.3-70B-Instruct,1,96.44,94.0,96.0,2.0,2.0,True,2.375,0.842,0.842
GSM8K,100,Llama-3.3-70B-Instruct,2,96.44,94.0,95.7,1.7,1.7,True,2.375,0.716,0.716
GSM8K,100,DeepSeek-R1-Distill-Llama-70B,1,95.83,92.0,95.5,3.5,3.5,True,2.713,1.29,1.29
GSM8K,100,DeepSeek-R1-Distill-Llama-70B,2,95.83,92.0,94.5,2.5,2.5,True,2.713,0.922,0.922
GSM8K,100,QwQ-32B-Preview,1,95.45,92.0,93.85,3.4,1.85,False,2.713,1.253,0.682
GSM8K,100,QwQ-32B-Preview,2,95.45,92.0,94.35,2.35,2.35,True,2.713,0.866,0.866
GSM8K,100,Grok-4-1-Fast-Reasoning,1,95.07,90.0,92.65,2.65,2.65,True,3.0,0.883,0.883
GSM8K,100,Grok-4-1-Fast-Reasoning,2,95.07,90.0,91.2,1.2,1.2,True,3.0,0.4,0.4
GSM8K,100,DeepSeek-V3.2(Thinking),1,95.0,92.0,94.0,2.0,2.0,True,2.713,0.737,0.737
GSM8K,100,DeepSeek-V3.2(Thinking),2,95.0,92.0,92.9,0.9,0.9,True,2.713,0.332,0.332
GSM8K,100,DeepSeek-R1-Distill-Qwen-32B,1,93.71,93.0,93.9,0.51,0.52,True,2.551,0.2,0.204
GSM8K,100,DeepSeek-R1-Distill-Qwen-32B,2,93.71,93.0,93.35,0.35,0.35,True,2.551,0.137,0.137
GSM8K,100,Qwen3-Next-80B-A3B-Instruct,1,93.48,94.0,93.65,0.35,0.35,True,2.375,0.147,0.147
GSM8K,100,Qwen3-Next-80B-A3B-Instruct,2,93.48,94.0,94.3,0.24,-0.3,False,2.375,0.101,-0.126
