bench,table,N,model,GT,naive,step1,imp1,step2,imp2
GPQA,1,50,Gemini-3-Flash-Preview,90.4,92.0,91.2,0.8,89.8,0.99
GPQA,1,50,GPT-5.2,86.36,84.0,85.6,1.6,85.6,1.6
GPQA,1,50,DeepSeek-V3.2(Thinking),84.85,94.0,88.8,5.2,90.8,3.2
GPQA,1,50,Grok-4-1-Fast-Reasoning,83.33,88.0,85.8,2.2,83.6,4.4
GPQA,1,50,Claude-Sonnet-4.5,82.83,78.0,80.6,2.6,81.4,3.4
GPQA,1,50,Qwen3-Next-80B-A3B-Instruct,76.26,82.0,76.8,5.2,78.4,3.6
GPQA,1,50,DeepSeek-R1-Distill-Llama-70B,59.09,60.0,59.0,0.82,59.0,0.82
GPQA,1,50,QwQ-32B-Preview,56.06,60.0,55.4,3.28,56.0,3.88
GPQA,1,50,Llama-3.3-70B-Instruct,46.97,32.0,37.6,5.6,37.2,5.2
GPQA,1,50,DeepSeek-R1-Distill-Qwen-32B,43.43,40.0,41.4,1.4,43.0,3.0
AIME,2,15,GPT-5.2,96.67,93.33,96.93,3.08,96.43,3.1
AIME,2,15,Gemini-3-Flash-Preview,96.67,93.33,99.93,0.08,97.77,2.24
AIME,2,15,DeepSeek-V3.2(Thinking),90.0,86.67,91.0,2.33,90.1,3.23
AIME,2,15,Grok-4-1-Fast-Reasoning,86.67,80.0,87.33,6.01,89.01,4.33
AIME,2,15,Claude-Sonnet-4.5,83.33,66.67,70.67,4.0,78.67,12.0
AIME,2,15,Qwen3-Next-80B-A3B-Instruct,73.33,73.33,72.27,-1.06,78.66,-5.33
AIME,2,15,DeepSeek-R1-Distill-Llama-70B,53.33,46.67,50.6,3.93,54.1,5.89
AIME,2,15,DeepSeek-R1-Distill-Qwen-32B,53.33,46.67,50.27,3.6,54.86,5.13
AIME,2,15,QwQ-32B-Preview,30.0,33.33,29.67,3.0,29.37,2.7
AIME,2,15,Llama-3.3-70B-Instruct,6.67,6.67,8.33,-1.66,6.24,-0.43
GSM8K,3,100,Gemini-3-Flash-Preview,97.88,98.0,97.9,0.1,98.3,-0.3
GSM8K,3,100,GPT-5.2,97.5,97.0,97.65,0.35,97.0,0.5
GSM8K,3,100,Claude-Sonnet-4.5,97.5,95.0,96.7,1.7,98.15,1.85
GSM8K,3,100,Llama-3.3-70B-Instruct,96.44,94.0,96.0,2.0,95.7,1.7
GSM8K,3,100,DeepSeek-R1-Distill-Llama-70B,95.83,92.0,95.5,3.5,94.5,2.5
GSM8K,3,100,QwQ-32B-Preview,95.45,92.0,93.85,3.4,94.35,2.35
GSM8K,3,100,Grok-4-1-Fast-Reasoning,95.07,90.0,92.65,2.65,91.2,1.2
GSM8K,3,100,DeepSeek-V3.2(Thinking),95.0,92.0,94.0,2.0,92.9,0.9
GSM8K,3,100,DeepSeek-R1-Distill-Qwen-32B,93.71,93.0,93.9,0.51,93.35,0.35
GSM8K,3,100,Qwen3-Next-80B-A3B-Instruct,93.48,94.0,93.65,0.35,94.3,0.24
