base_sigma,R,sigma,true_theta,vr_theoretical,vr_empirical,vr_oracle,var_naive,var_eif,mse_naive,mse_eif
0.1,40,0.1,0.010000000000000002,0.0003051047844244011,-0.21755550323524653,-10.221896823988352,2.9282521052477063e-07,3.5653094656045414e-07,2.9499985290298945e-07,3.5724525156695216e-07
0.1,40,0.15000000000000002,0.022500000000000006,0.0014792899408284036,-0.09709476844226628,-0.5224488797439626,1.0452433616613144e-06,1.1467310238276358e-06,1.0474418421668247e-06,1.1575828868037236e-06
0.1,40,0.2,0.04000000000000001,0.004407637609545294,0.06901727160339755,-0.41274435096964845,1.939704970726151e-06,1.8058318259310839e-06,1.916090729794753e-06,1.7986513716494233e-06
0.2,40,0.2,0.04000000000000001,0.004407637609545294,0.1064551424466258,0.37485495731970087,4.6852058685582304e-06,4.186441610429097e-06,4.7199999389033065e-06,4.263662779190006e-06
0.2,40,0.25,0.0625,0.010000000000000004,-0.03020544074439635,0.396693849359792,8.065144246998191e-06,8.308755483645904e-06,8.082103847491251e-06,8.211824128114693e-06
0.2,40,0.30000000000000004,0.09000000000000002,0.019024970273483963,0.04782634682409859,0.4822004283989947,9.819764302351372e-06,9.350120849096213e-06,9.700219357116127e-06,9.417420611744827e-06
0.35,40,0.35,0.12249999999999998,0.031980925994991756,0.24457253532199663,0.7314045304326093,4.3942120839423605e-05,3.319508493830023e-05,4.4268472888674064e-05,3.381251726037859e-05
0.35,40,0.39999999999999997,0.15999999999999998,0.04904155841045966,0.18538373493959615,0.6366337926789083,5.2855759074669584e-05,4.305716104433988e-05,5.296691903706873e-05,4.2389048179321816e-05
0.35,40,0.44999999999999996,0.20249999999999996,0.07006920415224914,0.03971252851126861,0.5169348155103111,4.971249097768662e-05,4.773828226236906e-05,4.910725922891209e-05,4.688495353804175e-05
0.5,40,0.5,0.25,0.09467455621301779,0.5158772061407342,0.8305575324651273,0.00018301588400615451,8.860216108568284e-05,0.00018437506078015643,9.096837536342605e-05
0.5,40,0.55,0.30250000000000005,0.12229777139229515,0.18414881751561263,0.7131074435413385,0.00018893095226884152,0.0001541395408164357,0.00018932832012592563,0.00015335958382650558
0.5,40,0.6,0.36,0.15229030339083885,0.07117740406261097,0.5129671025765052,0.00015711613197983237,0.00014593301356914933,0.00015520343008483761,0.00014271073575791552
0.75,40,0.75,0.5625,0.2500000000000001,0.6475832152750074,0.8732188131721728,0.0009265182212783996,0.00032652057253205276,0.000933399063340623,0.0003349273617707205
0.75,40,0.8,0.6400000000000001,0.2832629527016223,0.44393134385248245,0.8008646526504382,0.0008456919938429438,0.0004702628105309605,0.0008474706426336925,0.000464519648155166
0.75,40,0.85,0.7224999999999999,0.3161327196475344,0.35952851725267776,0.5740845505423564,0.0006328363250739439,0.00040531361945647524,0.0006251321760425796,0.00040338550913154495
1.0,40,1.0,1.0,0.4096000000000002,0.7140188685715332,0.8847567211841463,0.002928255104441846,0.0008374257078794624,0.0029500018797767426,0.0008511004297363734
1.0,40,1.05,1.1025,0.4384587289992696,0.5796956533769801,0.8697843180698795,0.002509628764521028,0.0010548078781383472,0.002514904652325104,0.0010382271290262023
1.0,40,1.1,1.2100000000000002,0.4660132370230823,0.47057497014148775,0.7049921094836652,0.0017749488729478459,0.0009397023600577459,0.00175334057386019,0.0009261785272386665
1.5,40,1.5,2.25,0.6400000000000001,0.8323489992258644,0.9588736976361105,0.014824286325109588,0.002485306438166955,0.014934379144393972,0.0024696357737525433
1.5,40,1.55,2.4025000000000003,0.6565645003967024,0.7185456754556094,0.9377819369453722,0.01191733020686584,0.0033541841237458877,0.011942386595003223,0.0032709512345903496
1.5,40,1.6,2.5600000000000005,0.6721636716899543,0.6088778239654523,0.8671520827127546,0.007945026333675541,0.003107475988278962,0.007848301931794161,0.003070022101590409
2.0,40,2.0,4.0,0.7686245074122726,0.9002151808834931,0.9666122925744595,0.04685208492516127,0.00467512681948844,0.04720003231986993,0.004671828186246785
2.0,40,2.05,4.2025,0.7778388564746662,0.8339361636288417,0.9537230864399123,0.036464310661215055,0.0060554033190311,0.036540975948687014,0.005933804743716423
2.0,40,2.1,4.41,0.7865522818943103,0.756923987295298,0.957849312130254,0.02357720738219739,0.005731053561176408,0.023290153753681896,0.005658911187071314
3.0,40,3.0,9.0,0.8858131487889274,0.9525675708238798,0.9831527558105405,0.23718862400808297,0.011250432609644798,0.23895009550096802,0.011334924980496907
3.0,40,3.05,9.302499999999998,0.8892117201068968,0.9185600129152006,0.9632249349123677,0.17866995440991348,0.014550878779585056,0.17904564927837038,0.01436714818361684
3.0,40,3.1,9.610000000000001,0.892465380154971,0.8752392384803422,0.9420150438798324,0.11195981923064596,0.013968192306818613,0.11059673750318917,0.013785022109016215
0.08,250,0.08,0.0064,0.00012655755629717934,-0.3299784757200288,-26.726115160097656,8.798085318594244e-08,1.1701264101278738e-07,8.776694552778786e-08,1.1692146884420749e-07
0.08,250,0.13,0.016900000000000002,0.000850778345565724,-0.06298397592637861,-2.4180185857912986,6.089448823597506e-07,6.472986521707886e-07,6.073523354542893e-07,6.451220552486241e-07
0.08,250,0.18,0.0324,0.002966211283046594,-0.04281936655320906,-0.43539385957286947,1.817449174645788e-06,1.895271197046773e-06,1.8117823414783142e-06,1.8891545719183092e-06
0.1,250,0.1,0.010000000000000002,0.0003051047844244011,-0.043087503736393584,-8.24636289076976,2.147971366124529e-07,2.240522090388086e-07,2.1427492865487623e-07,2.2394582725959563e-07
0.1,250,0.15000000000000002,0.022500000000000006,0.0014792899408284036,-0.0570746350751139,-1.0798899508161548,1.0793691407922819e-06,1.1409737406143405e-06,1.0765460522379518e-06,1.137427768205531e-06
0.1,250,0.2,0.04000000000000001,0.004407637609545294,-0.036489510730887575,0.1292679921253268,2.770079298238937e-06,2.8711581365174362e-06,2.761442022896137e-06,2.8634778423078195e-06
0.15,250,0.15,0.0225,0.001479289940828403,0.05973161757939627,-1.0284705301894537,1.087410504381719e-06,1.0224577159821717e-06,1.0847669190705972e-06,1.0192029606167946e-06
0.15,250,0.2,0.04000000000000001,0.004407637609545294,-0.024087770355408322,0.27941304797561717,3.4113381145310535e-06,3.493509643638529e-06,3.4024160051027343e-06,3.482584130277874e-06
0.15,250,0.25,0.0625,0.010000000000000004,-0.03442591570163822,0.45154453989373466,6.762892685228345e-06,6.995711458709242e-06,6.7418051740978364e-06,6.973891083199457e-06
0.2,250,0.2,0.04000000000000001,0.004407637609545294,0.018830397268275734,0.22207631566108654,3.4367543114387138e-06,3.3720388624408635e-06,3.4283990317582673e-06,3.3631596664719675e-06
0.2,250,0.25,0.0625,0.010000000000000004,0.01817054067528745,0.5866031066463849,8.328461667894605e-06,8.177129016395554e-06,8.30667966552684e-06,8.155850233613538e-06
0.2,250,0.30000000000000004,0.09000000000000002,0.019024970273483963,-0.010239447193995943,0.5191388398143468,1.4023529407428506e-05,1.4167122596269318e-05,1.3979803879387752e-05,1.4123412060094667e-05
0.25,250,0.25,0.0625,0.010000000000000004,0.08973292509057429,0.5565579798094921,8.390510919258352e-06,7.637605831468896e-06,8.370111663957846e-06,7.621475124903798e-06
0.25,250,0.3,0.09,0.019024970273483956,0.02976806974506796,0.6681751438798844,1.7269903479223015e-05,1.6755811787962912e-05,1.7224733925981807e-05,1.6715938756746432e-05
0.25,250,0.35,0.12249999999999998,0.031980925994991756,0.05970892806209693,0.6092539693646861,2.5980320462929724e-05,2.4429063377378428e-05,2.5899309591586587e-05,2.4346980641042908e-05
